Date,Close
19-10-2023,19624.7
20-10-2023,19542.65
23-10-2023,19281.75
25-10-2023,19122.15
26-10-2023,18857.25
27-10-2023,19047.25
30-10-2023,19140.9
31-10-2023,19079.6
01-11-2023,18989.15
02-11-2023,19133.25
03-11-2023,19230.6
06-11-2023,19411.75
07-11-2023,19406.7
08-11-2023,19443.5
09-11-2023,19395.3
10-11-2023,19425.35
12-11-2023,19525.55
13-11-2023,19443.55
15-11-2023,19675.45
16-11-2023,19765.2
17-11-2023,19731.8
20-11-2023,19694
21-11-2023,19783.4
22-11-2023,19811.85
23-11-2023,19802
24-11-2023,19794.7
28-11-2023,19889.7
29-11-2023,20096.6
30-11-2023,20133.15
01-12-2023,20267.9
04-12-2023,20686.8
05-12-2023,20855.1
06-12-2023,20937.7
07-12-2023,20901.15
08-12-2023,20969.4
11-12-2023,20997.1
12-12-2023,20906.4
13-12-2023,20926.35
14-12-2023,21182.7
15-12-2023,21456.65
18-12-2023,21418.65
19-12-2023,21453.1
20-12-2023,21150.15
21-12-2023,21255.05
22-12-2023,21349.4
26-12-2023,21441.35
27-12-2023,21654.75
28-12-2023,21778.7
29-12-2023,21731.4
01-01-2024,21741.9
02-01-2024,21665.8
03-01-2024,21517.35
04-01-2024,21658.6
05-01-2024,21710.8
08-01-2024,21513
09-01-2024,21544.85
10-01-2024,21618.7
11-01-2024,21647.2
12-01-2024,21894.55
15-01-2024,22097.45
16-01-2024,22032.3
17-01-2024,21571.95
18-01-2024,21462.25
19-01-2024,21622.4
20-01-2024,21571.8
23-01-2024,21238.8
24-01-2024,21453.95
25-01-2024,21352.6
29-01-2024,21737.6
30-01-2024,21522.1
31-01-2024,21725.7
01-02-2024,21697.45
02-02-2024,21853.8
05-02-2024,21771.7
06-02-2024,21929.4
07-02-2024,21930.5
08-02-2024,21717.95
09-02-2024,21782.5
12-02-2024,21616.05
13-02-2024,21743.25
14-02-2024,21840.05
15-02-2024,21910.75
16-02-2024,22040.7
19-02-2024,22122.25
20-02-2024,22196.95
21-02-2024,22055.05
22-02-2024,22217.45
23-02-2024,22212.7
26-02-2024,22122.05
27-02-2024,22198.35
28-02-2024,21951.15
29-02-2024,21982.8
01-03-2024,22338.75
02-03-2024,22378.4
04-03-2024,22405.6
05-03-2024,22356.3
06-03-2024,22474.05
07-03-2024,22493.55
11-03-2024,22332.65
12-03-2024,22335.7
13-03-2024,21997.7
14-03-2024,22146.65
15-03-2024,22023.35
18-03-2024,22055.7
19-03-2024,21817.45
20-03-2024,21839.1
21-03-2024,22011.95
22-03-2024,22096.75
26-03-2024,22004.7
27-03-2024,22123.65
28-03-2024,22326.9
01-04-2024,22462
02-04-2024,22453.3
03-04-2024,22434.65
04-04-2024,22514.65
05-04-2024,22513.7
08-04-2024,22666.3
09-04-2024,22642.75
10-04-2024,22753.8
12-04-2024,22519.4
15-04-2024,22272.5
16-04-2024,22147.9
18-04-2024,21995.85
19-04-2024,22147
22-04-2024,22336.4
23-04-2024,22368
24-04-2024,22402.4
25-04-2024,22570.35
26-04-2024,22419.95
29-04-2024,22643.4
30-04-2024,22604.85
02-05-2024,22648.2
03-05-2024,22475.85
06-05-2024,22442.7
07-05-2024,22302.5
08-05-2024,22302.5
09-05-2024,21957.5
10-05-2024,22055.2
13-05-2024,22104.05
14-05-2024,22217.85
15-05-2024,22200.55
16-05-2024,22403.85
17-05-2024,22466.1
18-05-2024,22502
21-05-2024,22529.05
22-05-2024,22597.8
23-05-2024,22967.65
24-05-2024,22957.1
27-05-2024,22932.45
28-05-2024,22888.15
29-05-2024,22704.7
30-05-2024,22488.65
31-05-2024,22530.7
03-06-2024,23263.9
04-06-2024,21884.5
05-06-2024,22620.35
06-06-2024,22821.4
07-06-2024,23290.15
10-06-2024,23259.2
11-06-2024,23264.85
12-06-2024,23322.95
13-06-2024,23398.9
14-06-2024,23465.6
18-06-2024,23557.9
19-06-2024,23516
20-06-2024,23567
21-06-2024,23501.1
24-06-2024,23537.85
25-06-2024,23721.3
26-06-2024,23868.8
27-06-2024,24044.5
28-06-2024,24010.6
01-07-2024,24141.95
02-07-2024,24123.85
03-07-2024,24286.5
04-07-2024,24302.15
05-07-2024,24323.85
08-07-2024,24320.55
09-07-2024,24433.2
10-07-2024,24324.45
11-07-2024,24315.95
12-07-2024,24502.15
15-07-2024,24586.7
16-07-2024,24613
18-07-2024,24800.85
19-07-2024,24530.9
22-07-2024,24509.25
23-07-2024,24479.05
24-07-2024,24413.5
25-07-2024,24406.1
26-07-2024,24834.85
29-07-2024,24836.1
30-07-2024,24857.3
31-07-2024,24951.15
01-08-2024,25010.9
02-08-2024,24717.7
05-08-2024,24055.6
06-08-2024,23992.55
07-08-2024,24297.5
08-08-2024,24117
09-08-2024,24367.5
12-08-2024,24347
13-08-2024,24139
14-08-2024,24143.75
16-08-2024,24541.15
19-08-2024,24572.65
20-08-2024,24698.85
21-08-2024,24770.2
22-08-2024,24811.5
23-08-2024,24823.15
26-08-2024,25010.6
27-08-2024,25017.75
28-08-2024,25052.35
29-08-2024,25151.95
30-08-2024,25235.9
02-09-2024,25278.7
03-09-2024,25279.85
04-09-2024,25198.7
05-09-2024,25145.1
06-09-2024,24852.15
09-09-2024,24936.4
10-09-2024,25041.1
11-09-2024,24918.45
12-09-2024,25388.9
13-09-2024,25356.5
16-09-2024,25383.75
17-09-2024,25418.55
18-09-2024,25377.55
19-09-2024,25415.8
20-09-2024,25790.95
23-09-2024,25939.05
24-09-2024,25940.4
25-09-2024,26004.15
26-09-2024,26216.05
27-09-2024,26178.95
30-09-2024,25810.85
01-10-2024,25796.9
03-10-2024,25250.1
04-10-2024,25014.6
07-10-2024,24795.75
08-10-2024,25013.15
09-10-2024,24981.95
10-10-2024,24998.45
11-10-2024,24964.25
14-10-2024,25127.95
15-10-2024,25057.35
16-10-2024,24971.3
17-10-2024,24749.85
18-10-2024,24854.05
